" ""http://purl.obolibrary.org/obo/UBERON_0018283"" "," ""lower pharyngobranchial toothplate"" "
" ""http://purl.obolibrary.org/obo/UBERON_0018299"" "," ""mandibular symphyseal tooth"" "
" ""http://purl.obolibrary.org/obo/UBERON_0018324"" "," ""hypochordal radial"" "
" ""http://purl.obolibrary.org/obo/UBERON_1500008"" "," ""pelvic fin distal radial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000103"" "," ""supramaxilla"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000104"" "," ""suprapreopercle"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000127"" "," ""antorbital"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000171"" "," ""interhyal bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000196"" "," ""dorsal hypohyal bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000203"" "," ""rhinosphenoid"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000223"" "," ""infraorbital 1"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000224"" "," ""quadrate ventral process"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000226"" "," ""lateral ethmoid bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000239"" "," ""mesocoracoid bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000240"" "," ""metapterygoid"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000251"" "," ""adipose fin"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000264"" "," ""preopercle"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000268"" "," ""anal fin proximal radial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000284"" "," ""subopercle"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000289"" "," ""preopercle horizontal limb"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000300"" "," ""ventral hypohyal bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000336"" "," ""preopercle vertical limb"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000350"" "," ""epipleural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000356"" "," ""gill raker"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000363"" "," ""hypobranchial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000364"" "," ""hypural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000410"" "," ""postcleithrum"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000419"" "," ""pterosphenoid"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000422"" "," ""retroarticular"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000438"" "," ""parhypural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000442"" "," ""supraneural bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000452"" "," ""urohyal"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000474"" "," ""intercalar"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000476"" "," ""branchiostegal ray"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000488"" "," ""ceratobranchial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000495"" "," ""infraorbital 5"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000507"" "," ""epineural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000526"" "," ""intermuscular bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000527"" "," ""pharyngobranchial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000549"" "," ""posttemporal"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000576"" "," ""pterotic"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000587"" "," ""sphenotic"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000594"" "," ""supracleithrum"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000602"" "," ""uroneural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000620"" "," ""autopalatine"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000623"" "," ""basipterygium bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000646"" "," ""anal fin distal radial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000657"" "," ""entopterygoid"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000658"" "," ""epibranchial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000660"" "," ""epural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000663"" "," ""extrascapula"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000674"" "," ""interopercle"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000692"" "," ""symplectic"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000699"" "," ""entopterygoid vertical strut"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000734"" "," ""preural vertebra"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000735"" "," ""hemal postzygapophysis"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000936"" "," ""dorsal fin distal radial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2000947"" "," ""dorsal fin proximal radial bone"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001028"" "," ""hypurapophysis"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001160"" "," ""dorsal scute"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001220"" "," ""basibranchial copula"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001221"" "," ""anterior copula"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001222"" "," ""posterior copula"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001274"" "," ""coronomeckelian"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001335"" "," ""supradorsal"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001364"" "," ""hemal spine"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001382"" "," ""epibranchial bone uncinate process"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001397"" "," ""post-Weberian supraneural"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001403"" "," ""supraethmoid"" "
" ""http://purl.obolibrary.org/obo/UBERON_2001404"" "," ""preethmoid bone"" "
