Result based On VTO_0041850 
,Asserted,Inferred,Family,Genus
anal fin proximal radial cartilage,,,,
anal fin distal radial cartilage,,,,
dorsal fin distal radial cartilage,,,,
dorsal fin proximal radial cartilage,,,,
pectoral fin proximal radial cartilage,,,,
pectoral fin distal radial cartilage,,,,
dorsal fin middle radial cartilage,,,,
anal fin middle radial cartilage,,,,
anal fin,,,,
caudal fin,,,1,
caudal fin lepidotrichium,,,1,
supraneural cartilage,,,,
dorsal fin ray,,,,
pelvic fin ray,,,0,
anal fin ray,,,,
pectoral fin ray,,,,
medial cartilage of palatine,,,,
pharyngobranchial 4 tooth plate,,,,
pterotic-posttemporal-supracleithrum,,,,
hypomaxilla,,,,
ascending process of the parasphenoid,,,,
dermethmoid,,,,
second preethmoid,,,,
ventral keel of coracoid,,,,
distal cartilage of posterior process of basipterygium,,,,
internal anterior process of basipterygium,,,,
distal cartilage of internal anterior process of basipterygium,,,,
middle anterior process of basipterygium,,,,
distal cartilage of middle anterior process of basipterygium,,,,
external anterior process of basipterygium,,,,
distal cartilage of external anterior process of basipterygium,,,,
lateral process of basipterygium,,,,
lateropterygium,,,0,
hypural plate,,,,
spina occipitalis,,,,
basal fulcrum,,,,
fringing fulcrum,,,,
pleurostyle,,,,
pelvic axillary process,,,0,
pectoral axillary process,,,,
interhaemal bone,,,,
gular plate,,,,
median caudal cartilage,,,,
rostral cartilage,,,,
myorhabdoid bone,,,,
caudal basal fulcrum,,,,
pseudourostyle,,,,
stegural,,,,
preural centrum 1 + ural centrum 1 + ural centrum 2,,,,
ctenius,,,,
premaxilla dentigerous process,,,,
anal fin spine,,,0,
interarcual cartilage,,,0,
pelvic fin spine,,,0 and 1,
ctenoid scale,,,,
cycloid scale,,,,
epaxial basal fulcrum,,,,
hypaxial basal fulcrum,,,,
hemal prezygapophysis,,,,
extracleithrum,,,,
lateral extrascapular,,,,
median extrascapular,,,,
palatine prong,,,,
urodermal bone,,,,
medial pelvic process,,,,
rostrodermethmoid,,,,
propterygium bone,,,,
ectocoracoid bone,,,,
